,CTC_Apus_melba,CMNH37000_Aerodramus_whiteheadi,FMNH358312_Collocalia_troglodytes,09NC56_Collocalia_uropygialis,DHC88_Collocalia_esculenta,DHC66_Aerodramus_brevirostris_vulcanorum,DHC31_Aerodramus_spodiopygius_spodiopygius,AC10-07_Aerodramus_ocistus_ocistus,DHC04_Aerodramus_fuciphagus_germani,ROAF1_Aerodramus_fuciphagus_germani,DMT042_Aerodramus_maximus,DHC36_Aerodramus_spodiopygius_assimilis,DHC37_Aerodramus_spodiopygius_assimilis,M2049_Aerodramus_brevirostris,M2123_Aerodramus_brevirostris,14F2_Aerodramus_spodiopygius_assimilis,DHC39_Aerodramus_spodiopygius_assimilis,DHC40_Aerodramus_fuciphagus_vestitus,DMT027_Aerodramus_fuciphagus_vestitus,DMT002_Aerodramus_salangana_natunae,EP52-03_Aerodramus_sororum,LC1_Aerodramus_francicus_cytb_Reunion,SEA116_Aerodramus_mearnsi,195235_Aerodramus_ocistus_ocistus,195236_Aerodramus_ocistus_ocistus,195261_Aerodramus_ocistus_gilliardi,AC05-01_Aerodramus_leucophaeus,AC09-S3_Aerodramus_leucophaeus,UWBM58708_Aerodramus_vanikorensis_lugubrius,JBF08-96_Aerodramus_spodiopygius_leucopygius,DHC28_Aerodramus_terraereginae,DHC03_Aerodramus_maximus,DMT048_Aerodramus_salangana_natunae,DMT047_Aerodramus_salangana_natunae,EP52-01_Aerodramus_sororum,EP52-02_Aerodramus_sororum,DHC52_Aerodramus_francicus_Mauritius,DHC53_Aerodramus_francicus_Mauritius,DHC59_Aerodramus_elaphrus,DHC60_Aerodramus_elaphrus,DHC61_Aerodramus_elaphrus,EPAL2_Aerodramus_elaphrus,DHC01_Aerodramus_vanikorensis_palawensis,DHC06_Aerodramus_vanikorensis_palawensis,AC10-02_Aerodramus_ocistus_ocistus,AC10-04_Aerodramus_ocistus_ocistus,AC09-09_Aerodramus_ocistus_ocistus,AC10-01_Aerodramus_ocistus_ocistus,190167_Aerodramus_ocistus_gilliardi,195258_Aerodramus_ocistus_gilliardi,DHC77_Aerodramus_bartschi,09NC38_Aerodramus_spodiopygius_leucopygius,09NC39_Aerodramus_spodiopygius_leucopygius,DHC20_Aerodramus_terraereginae,DHC30_Aerodramus_terraereginae,DMT040_Aerodramus_maximus,MC10-01_Aerodramus_sawtelli,MC10-02_Aerodramus_sawtelli,W3_Aerodramus_sawtelli,DHC117_Aerodramus_maximus,DHC120_Aerodramus_maximus
CTC_Apus_melba,0.000000,0.094937,0.127417,0.117227,0.118152,0.107587,0.111187,0.112901,0.115126,0.112600,0.119850,0.114117,0.113548,0.113952,0.113950,0.112286,0.113505,0.117438,0.113788,0.113370,0.123045,0.120487,0.113254,0.118482,0.117879,0.115446,0.116617,0.111610,0.114691,0.118646,0.108376,0.118574,0.113610,0.113424,0.122191,0.121289,0.122361,0.122478,0.123045,0.121065,0.119826,0.128313,0.117086,0.117075,0.118033,0.117889,0.119146,0.118868,0.125409,0.119656,0.115983,0.118646,0.118646,0.112718,0.110361,0.120320,0.111438,0.111083,0.111249,0.120321,0.120321
CMNH37000_Aerodramus_whiteheadi,0.094937,0.000000,0.143322,0.133132,0.134057,0.123492,0.127092,0.128806,0.131031,0.128505,0.135755,0.130022,0.129453,0.129857,0.129855,0.128191,0.129410,0.133343,0.129693,0.129275,0.138950,0.136392,0.129159,0.134387,0.133784,0.131351,0.132522,0.127515,0.130596,0.134551,0.124281,0.134479,0.129515,0.129329,0.138096,0.137194,0.138266,0.138383,0.138950,0.136970,0.135731,0.144218,0.132991,0.132980,0.133938,0.133794,0.135051,0.134773,0.141314,0.135561,0.131888,0.134551,0.134551,0.128623,0.126266,0.136225,0.127343,0.126988,0.127154,0.136226,0.136226
FMNH358312_Collocalia_troglodytes,0.127417,0.143322,0.000000,0.097216,0.098141,0.087576,0.091176,0.092890,0.095115,0.092589,0.099839,0.094106,0.093537,0.093941,0.093939,0.092275,0.093494,0.097427,0.093777,0.093359,0.103034,0.100476,0.093243,0.098471,0.097868,0.095435,0.096606,0.091599,0.094680,0.098635,0.088365,0.098563,0.093599,0.093413,0.102180,0.101278,0.102350,0.102467,0.103034,0.101054,0.099815,0.108302,0.097075,0.097064,0.098022,0.097878,0.099135,0.098857,0.105398,0.099645,0.095972,0.098635,0.098635,0.092707,0.090350,0.100309,0.091427,0.091072,0.091238,0.100310,0.100310
09NC56_Collocalia_uropygialis,0.117227,0.133132,0.097216,0.000000,0.050537,0.077386,0.080986,0.082700,0.084925,0.082399,0.089649,0.083916,0.083347,0.083751,0.083749,0.082085,0.083304,0.087237,0.083587,0.083169,0.092844,0.090286,0.083053,0.088281,0.087678,0.085245,0.086416,0.081409,0.084490,0.088445,0.078175,0.088373,0.083409,0.083223,0.091990,0.091088,0.092160,0.092277,0.092844,0.090864,0.089625,0.098112,0.086885,0.086874,0.087832,0.087688,0.088945,0.088667,0.095208,0.089455,0.085782,0.088445,0.088445,0.082517,0.080160,0.090119,0.081237,0.080882,0.081048,0.090120,0.090120
DHC88_Collocalia_esculenta,0.118152,0.134057,0.098141,0.050537,0.000000,0.078311,0.081911,0.083625,0.085850,0.083324,0.090574,0.084841,0.084272,0.084676,0.084674,0.083010,0.084229,0.088162,0.084512,0.084094,0.093769,0.091211,0.083978,0.089206,0.088603,0.086170,0.087341,0.082334,0.085415,0.089370,0.079100,0.089298,0.084334,0.084148,0.092915,0.092013,0.093085,0.093202,0.093769,0.091789,0.090550,0.099037,0.087810,0.087799,0.088757,0.088613,0.089870,0.089592,0.096133,0.090380,0.086707,0.089370,0.089370,0.083442,0.081085,0.091044,0.082162,0.081807,0.081973,0.091045,0.091045
DHC66_Aerodramus_brevirostris_vulcanorum,0.107587,0.123492,0.087576,0.077386,0.078311,0.000000,0.029484,0.031198,0.033423,0.030897,0.020483,0.032414,0.031845,0.032249,0.032247,0.030583,0.031802,0.035735,0.032085,0.031667,0.041342,0.038784,0.031551,0.036779,0.036176,0.033743,0.034914,0.029907,0.032988,0.036943,0.026673,0.019207,0.031907,0.031721,0.040488,0.039586,0.040658,0.040775,0.041342,0.039362,0.038123,0.046610,0.035383,0.035372,0.036330,0.036186,0.037443,0.037165,0.043706,0.037953,0.034280,0.036943,0.036943,0.031015,0.028658,0.020953,0.029735,0.029380,0.029546,0.020954,0.020954
DHC31_Aerodramus_spodiopygius_spodiopygius,0.111187,0.127092,0.091176,0.080986,0.081911,0.029484,0.000000,0.009916,0.012141,0.009615,0.041747,0.011132,0.010563,0.010967,0.010965,0.009301,0.010520,0.014453,0.010803,0.010385,0.020060,0.017502,0.010269,0.015497,0.014894,0.012461,0.013632,0.008625,0.011706,0.040543,0.030273,0.040471,0.010625,0.010439,0.019206,0.018304,0.019376,0.019493,0.020060,0.018080,0.016841,0.025328,0.014101,0.014090,0.015048,0.014904,0.016161,0.015883,0.022424,0.016671,0.012998,0.040543,0.040543,0.034615,0.032258,0.042217,0.008453,0.008098,0.008264,0.042218,0.042218
AC10-07_Aerodramus_ocistus_ocistus,0.112901,0.128806,0.092890,0.082700,0.083625,0.031198,0.009916,0.000000,0.013855,0.011329,0.043461,0.012846,0.012277,0.012681,0.012679,0.011015,0.012234,0.016167,0.012517,0.012099,0.021774,0.019216,0.011983,0.017211,0.016608,0.014175,0.015346,0.010339,0.013420,0.042257,0.031987,0.042185,0.012339,0.012153,0.020920,0.020018,0.021090,0.021207,0.021774,0.019794,0.018555,0.027042,0.015815,0.015804,0.016762,0.016618,0.017875,0.017597,0.024138,0.018385,0.014712,0.042257,0.042257,0.036329,0.033972,0.043931,0.010167,0.009812,0.009978,0.043932,0.043932
DHC04_Aerodramus_fuciphagus_germani,0.115126,0.131031,0.095115,0.084925,0.085850,0.033423,0.012141,0.013855,0.000000,0.013554,0.045686,0.015071,0.014502,0.014906,0.014904,0.013240,0.014459,0.018392,0.014742,0.014324,0.023999,0.021441,0.014208,0.019436,0.018833,0.016400,0.017571,0.012564,0.015645,0.044482,0.034212,0.044410,0.014564,0.014378,0.023145,0.022243,0.023315,0.023432,0.023999,0.022019,0.020780,0.029267,0.018040,0.018029,0.018987,0.018843,0.020100,0.019822,0.026363,0.020610,0.016937,0.044482,0.044482,0.038554,0.036197,0.046156,0.012392,0.012037,0.012203,0.046157,0.046157
ROAF1_Aerodramus_fuciphagus_germani,0.112600,0.128505,0.092589,0.082399,0.083324,0.030897,0.009615,0.011329,0.013554,0.000000,0.043160,0.012545,0.011976,0.012380,0.012378,0.010714,0.011933,0.015866,0.012216,0.011798,0.021473,0.018915,0.011682,0.016910,0.016307,0.013874,0.015045,0.010038,0.013119,0.041956,0.031686,0.041884,0.012038,0.011852,0.020619,0.019717,0.020789,0.020906,0.021473,0.019493,0.018254,0.026741,0.015514,0.015503,0.016461,0.016317,0.017574,0.017296,0.023837,0.018084,0.014411,0.041956,0.041956,0.036028,0.033671,0.043630,0.009866,0.009511,0.009677,0.043631,0.043631
